nofish,livebait,camper,persons,child,xb,zg,count
0,1,1,2,0,0.011589484,-0.33921802,4
0,1,0,4,1,3.29880619,-2.671430111,4
0,1,1,1,0,-0.258302957,0.714798093,9
0,1,0,3,1,0.931161046,-1.925231814,0
0,1,1,4,1,3.234340668,-1.934120536,0
0,1,1,4,1,0.566562116,1.361151457,3
0,1,1,1,0,1.974095106,3.178084135,2
0,1,1,2,0,0.109922774,2.124498606,0
0,1,0,1,0,-1.052196026,-1.837709427,0
1,0,0,4,1,1.193210363,0.732807636,0
0,1,0,3,2,0.351580232,-2.184268236,9
1,1,0,2,0,1.180063128,1.293958902,0
0,1,0,2,1,0.442351252,-0.252750695,3
0,1,0,4,1,0.339507729,-0.768189728,4
1,0,1,3,1,0.368057549,-0.848371208,0
1,1,1,3,2,2.431215048,-0.945337653,8
0,1,0,2,1,-0.267399877,-1.620429158,0
1,1,0,1,0,-0.36659652,2.514541626,8
1,0,1,4,3,1.48165834,-2.82096076,3
0,1,0,1,0,-0.620765746,0.583114088,0
1,0,1,4,3,1.59366858,-2.947399616,0
0,1,0,4,1,2.824294329,-0.742032945,3
0,1,1,1,0,1.487538576,2.26522541,0
0,1,1,3,0,1.139073014,3.448698759,0
0,1,0,2,0,1.415821791,1.297202468,0
0,1,1,4,0,2.172077894,4.263185024,0
1,0,1,3,0,0.818082452,3.058596849,0
1,1,1,1,0,0.332590669,2.045859098,3
0,1,0,4,0,1.856842756,2.516795874,0
1,1,1,4,2,0.593688667,-1.977207899,3
0,1,1,2,1,0.061764006,1.269807458,0
1,1,0,4,0,1.984782338,0.824614167,0
0,1,1,4,1,1.963856339,0.03152037,4
0,1,0,3,1,3.72607255,0.701675057,0
0,1,1,2,1,0.349324912,-0.161479443,5
0,1,0,2,0,0.704055548,2.344917059,0
1,1,1,4,3,1.569243789,-4.469278812,5
0,1,1,2,1,0.781064868,-1.890136719,4
1,0,0,3,0,0.139555037,0.339156687,0
0,1,1,3,1,1.541620493,-1.531070232,0
1,1,0,1,0,0.071873553,1.305795789,1
0,1,0,2,0,0.746514857,-0.650594831,3
1,1,1,4,0,1.925082445,3.567077875,0
0,1,0,3,0,2.214212179,2.691571951,0
1,0,1,3,2,-0.599701524,-2.059751987,3
1,0,1,2,1,-2.107331038,0.141346171,0
0,1,1,1,0,-2.490455389,2.073759556,0
0,1,1,2,1,-0.070476264,-0.478490353,5
0,1,0,1,0,-0.233503744,0.152506366,0
0,1,0,2,0,2.148858786,-0.488574415,0
0,1,0,3,0,3.173754692,0.378390342,3
0,1,1,1,0,0.676705837,1.623785019,2
1,1,1,2,0,0.903368711,2.01538229,4
0,1,1,3,1,2.121471882,-0.091606267,0
1,1,1,1,0,-1.680656552,2.277235031,5
0,1,1,4,0,4.26848793,1.362295985,6
0,1,1,3,0,1.759671211,1.47816968,0
0,1,0,1,0,0.007159876,0.184564099,7
1,1,1,3,2,3.533810616,-3.252695322,0
0,1,0,4,1,1.902828455,-1.590401888,3
0,1,0,4,2,2.054314375,-3.139189243,8
1,1,0,1,0,0.132048607,2.244067192,0
0,1,1,4,1,2.844588757,-0.078207836,0
0,1,1,3,0,-0.150227517,2.496215105,0
0,1,1,3,2,0.377593964,-2.29437232,1
0,1,1,4,3,1.461001873,-3.943372011,5
0,1,1,3,0,0.951952934,2.606308937,7
0,1,1,2,1,1.531072855,1.537260294,6
1,1,0,4,0,1.716095209,1.826901793,5
0,1,0,2,0,2.242041826,2.398617029,0
0,1,0,4,2,3.389037609,-2.893302679,5
0,1,0,2,0,-0.457464665,3.17933321,0
0,1,1,2,0,-0.263669461,1.760868073,5
0,1,0,1,0,-0.71243757,1.177165627,4
1,1,1,2,0,3.053916931,2.469107866,5
0,1,0,1,0,-2.708276749,0.347330987,4
0,1,1,3,0,1.872051477,2.30796957,0
0,1,0,2,1,0.169749007,-0.835122049,1
1,0,1,2,0,-0.348856091,2.94145751,0
0,1,1,2,1,0.240219221,-0.403173774,7
1,1,0,3,1,2.40387702,-1.568528771,0
0,1,1,4,1,2.988574505,0.950103223,0
1,0,0,3,2,0.005257762,-3.463099957,5
0,1,1,3,2,0.400785357,-1.719052434,0
1,1,1,4,0,1.592312098,3.472146988,0
0,1,1,2,1,1.022531271,0.598669052,0
0,1,1,3,0,2.377341747,2.578616858,8
1,0,1,1,0,-2.112927198,1.63011241,0
0,1,1,1,0,-0.557507157,1.938125849,0
1,0,0,1,0,-1.276221037,0.145860225,0
1,0,1,2,0,1.060786009,2.973175526,11
1,1,1,2,0,0.409971446,1.287543416,0
0,1,0,1,0,1.472747684,1.001728415,0
0,1,1,3,1,1.122244954,-1.014991045,0
0,1,1,4,2,2.242376328,-2.386286736,0
0,1,1,2,0,3.163843393,1.296834946,0
0,1,0,2,1,-0.585306764,-2.07876277,0
0,1,0,2,0,-0.015607119,2.299016714,0
1,0,1,1,0,0.834488332,2.205511093,0
1,0,1,2,1,-1.268876076,1.570919514,0
0,1,1,4,1,2.757081985,-0.866619527,0
0,1,1,3,1,1.703949213,-1.154581547,7
0,1,1,4,0,3.765002489,1.189270258,0
1,1,1,4,3,2.719051123,-4.614192963,5
0,1,1,1,0,-0.154021844,2.46532011,1
0,1,0,1,0,-0.411525637,0.257135123,2
0,1,1,1,0,0.531122029,2.928965569,1
0,1,0,1,0,1.340306163,3.566372156,0
0,1,1,1,0,-1.562050104,1.406773925,0
0,1,0,2,0,0.225383952,2.220991135,2
1,1,0,4,2,4.502663612,-4.730084896,4
1,0,0,2,1,0.162199765,-1.125854254,0
0,1,0,4,2,3.047013521,-3.184262991,0
0,1,0,3,1,1.630753398,-2.707653284,0
0,1,1,4,2,1.983255029,0.573806643,0
0,1,0,4,2,3.877111435,-2.179812431,3
1,0,0,4,1,1.58475554,-1.289599061,0
0,1,0,3,0,1.701143265,0.005117925,2
1,1,1,2,1,-0.170604989,1.469863534,5
0,1,1,1,0,-0.49698019,0.957906127,0
0,1,0,2,1,1.218269944,-0.664241612,0
0,1,1,2,0,0.037536614,2.861773014,3
1,1,1,3,1,1.523244143,3.039572716,5
1,1,0,1,0,-0.907698154,0.611488819,2
0,1,1,3,2,2.331376553,-2.355525732,0
0,1,1,2,1,1.068086028,1.375056386,0
0,1,1,1,0,1.40126574,2.141049623,0
1,1,0,4,2,3.930421829,-2.74390316,0
0,1,0,3,1,0.196246982,-1.781073928,7
0,1,0,2,0,0.029527381,1.002204299,4
1,0,0,2,0,-0.766901433,-0.44208771,4
0,1,1,1,0,0.661188662,3.241333485,5
0,1,1,2,0,1.015074015,0.948959351,0
0,1,1,1,0,-1.046668053,0.760976613,0
0,1,1,3,0,1.9380548,2.159034252,5
0,1,1,2,0,1.724750519,0.927846849,0
0,1,1,2,0,0.602655232,3.57160902,0
0,1,1,4,2,2.413781643,-1.316399097,0
1,0,0,2,0,-1.20076859,1.057799816,5
0,1,1,3,1,1.963849306,-0.733001232,6
0,1,0,3,0,-0.291065693,1.315508246,10
1,1,1,2,0,-0.755235732,2.324208736,0
0,1,1,4,3,1.794859171,-5.625943661,4
0,1,1,2,1,-0.392648846,0.677275419,0
1,1,1,3,2,1.374640584,-2.595630169,0
1,1,1,2,1,0.828834116,-1.457115412,0
